Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
NYCHH,1c, TRUE,Net days of revenue for accounts receivable,48.3,54.6,57.2,51.1,43.4,56,56,Neutral,Down
CCRB,1c, FALSE,– Cases closed by trial,NA,NA,89,137,87,*,*,NA,*
TLC,1e, FALSE,– Complaints that were eligible for prosecution,"8,340","7,605","7,921","10,227","9,847",*,*,Up,*
BIC,3a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DOF,3a, TRUE,Average time to process initial SCRIE applications (days),17.3,4.4,7.7,4.7,3,10,10,Down,Down
DOB,4a, FALSE,Completed customer requests for interpretation,36,17,66,68,63,*,*,Up,*
NYCHA,4a, FALSE,E-mails responded to in 14 days (%),85.80%,87.10%,88.30%,82.90%,77.60%,*,*,Neutral,Up
CCHR,2a, FALSE,Community-based technical assistance,"22,537","53,426","56,016","37,896","32,607","40,000","40,000",Neutral,Up
OATH,1a, TRUE,Average time for the OATH Trials Division to issue decisions after records closed (business days),13.9,15.2,7.5,5.4,5.2,25,15,Down,Down
ACS,2a, FALSE,Abuse and/or neglect reports for children in child care,357,413,492,584,621,*,*,Up,*
DSNY,5a, FALSE,Cases commenced against the City in state and federal court,309,341,651,747,432,*,*,Up,*
DPR,1a, FALSE,– Overall condition of small parks and playgrounds (%),83%,85%,85%,83%,85%,*,*,Neutral,Up
FDNY,3a, FALSE,"Average annual cost of an ambulance ($000,000)",$2.00,$2.10,$2.10,$2.10,$2.20,*,*,Neutral,*
ACS,2a, FALSE,Average child care voucher enrollment,"71,756","67,541","66,801","67,527","66,968",*,*,Neutral,*
DOT,6a, FALSE,Cases commenced against the City in state and federal court,"1,927","1,919","2,173","2,209","2,234",*,*,Up,*
DOC,2b, FALSE,Average daily attendance in school programs,693,526,330,256,203,*,*,Down,*
OATH,3a, FALSE,Completed customer requests for interpretation,"8,734","9,240","9,419","10,185","11,842",*,*,Up,*
LAW,4a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
HPD,2a, FALSE,HNY units started for senior individuals and families,NA,602,"1,723","1,373",929,"1,000","1,000",NA,*
DPR,2a, TRUE,– Removed within 30 days of service request (%),91%,99%,97%,84%,47%,95%,95%,Down,Up
DCAS,6a, TRUE,Hybrid or alternative fuel vehicles in the citywide fleet (%),41%,56%,57%,59%,60%,62%,63%,Up,Up
HRA,1b, FALSE,– Non-cash assistance households receiving SNAP benefits (000),585.7,541.6,515.6,510.4,510.1,*,*,Down,*
NYPL,NA, TRUE,Average weekly scheduled hours,46.6,46.6,46.6,50,50,50,50,Neutral,Up
CUNY,NA, FALSE,Students earning Grade C or better in Math Gateway Courses (%),67.20%,68.90%,68.60%,68.40%,67.40%,*,*,Neutral,Up
HRA,1a, TRUE,Persons receiving cash assistance (000),357.2,337,360,369.5,364.2,*,*,Neutral,*
NYPL,NA, FALSE,Reference queries (000),"8,777","8,446","9,047","9,141","9,023","9,000","8,600",Neutral,Up
DOE,5a, FALSE,Average direct services to schools expenditure per student ($),"$16,869","$17,615","$18,365","$19,840",NA,*,*,NA,*
DPR,1a, TRUE,Parks rated acceptable for overall condition (%),85%,87%,86%,85%,86%,85%,85%,Neutral,Up
DHS,3a, TRUE,Average length of stay for families with children in shelter (days),375,427,430,431,414,↓,↓,Neutral,Down
OATH,3a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DSNY,5a, FALSE,Workplace injuries reported (uniform and civilian),"1,572","1,539","1,266","1,304","1,329",*,*,Down,Down
HPD,1a, TRUE,Emergency complaints closed within 12 days of receipt (%),73%,72%,70%,71%,71%,↑,↑,Neutral,Up
NYCHH,1a, FALSE,Calendar days to third next available new appointment - pediatric medicine,NA,NA,6.5,5,5.1,5,5,NA,Down
DOE,4a, TRUE,– Fair condition (%),55.50%,55.60%,50.00%,48.30%,NA,*,*,NA,*
DOF,5a, FALSE,Online property recording transactions (%),NA,NA,NA,58.80%,63.10%,*,*,NA,Up
NYCHH,1b, TRUE,Uninsured patients served,"475,627","469,239","421,647","425,089","414,738",↓,↓,Down,Down
DOE,4a, FALSE,– High schools (%),33.00%,31.00%,48.70%,36.00%,NA,*,*,NA,Down
DOC,1b, FALSE,"Department use of force incidents with minor injury (rate per 1,000 ADP)",10.95,13.23,15.59,15.39,14.55,*,*,Up,Down
NYCHA,4a, FALSE,Letters responded to in 14 days (%),74.00%,80.30%,79.00%,84.70%,83.80%,*,*,Up,Up
NYCHH,1c, FALSE,Patients with a substance abuse diagnosis in a jail-based substance abuse program (%),NA,NA,10.00%,10.00%,9.00%,*,*,NA,*
FDNY,2a, FALSE,End-to-end average response time to life-threatening medical emergencies by ambulances (minutes:seconds),9:22,9:31,9:13,9:09,8:56,*,*,Neutral,Down
DSNY,2a, TRUE,Tons of refuse disposed (000),"3,262.80","3,193.80","3,176.90","3,196.20","3,213.40","3,150.00","3,150.00",Neutral,Down
HRA,1b, FALSE,Supplemental Nutritional Assistance Program (SNAP) Estimated Payment Error Rate (%),5.55%,6.81%,4.01%,2.88%,NA,6.00%,6.00%,NA,Down
DORIS,3a, FALSE,Letters responded to in 14 days (%),92%,92%,100%,100%,100%,*,*,Up,Up
DPR,1b, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),81.10%,84.80%,87.20%,85.90%,81.50%,*,*,Neutral,Up
DOF,6a, FALSE,"Total revenue collected ($000,000)","$30,167","$32,227","$34,452","$36,044","$36,914",*,*,Up,*
NYPD,3a, FALSE,– Unreasonable noise summonses,"14,044","12,991","8,249","5,487","4,325",*,*,Down,*
HRA,1b, FALSE,SNAP applications filed electronically (%),NA,58.70%,71.50%,73.40%,75.60%,*,*,NA,*
DCAS,2a, TRUE,Average building cleanliness and condition rating for DCAS-managed space (non-court) (%),69%,70%,69%,70%,70%,70%,72%,Neutral,Up
CCRB,1c, FALSE,Administrative prosecution cases closed,NA,NA,200,210,163,*,*,NA,*
FDNY,1a, FALSE,Violation orders corrected (%),74%,91%,86%,86%,90%,*,*,Up,Up
DYCD,1b, FALSE,Runaway and homeless youth served - crisis beds,"1,478","1,744","2,193","2,539","2,340","1,400","2,400",Up,*
NYCHA,3a, FALSE,Referrals to supportive social services rendered to senior residents,"96,548","84,987","70,824","53,763","18,317",*,*,Down,Up
DOHMH,2b, FALSE,Adult patients with controlled blood pressure (%) (CY),67.00%,67.40%,66.80%,67.20%,67.10%,70.00%,70.00%,Neutral,Up
DSNY,1b, TRUE,Vacant lot cleaning requests,"3,056","2,539","2,367","2,779","2,730","2,500","2,500",Neutral,*
DEP,2a, FALSE,Street segments with confirmed sewer backup in the last 12 months (% of total segments),1.70%,1.40%,1.20%,1.10%,1.20%,*,*,Down,Down
HRA,5a, FALSE,Fair hearings requested,NA,"396,196","328,469","285,165","247,253",*,*,NA,*
BOE,NA, FALSE,Interpreters deployed on election day,"1,917","1,908","2,051","1,874","2,329",*,*,Up,*
OATH,2a, TRUE,Average time from OATH Hearings Division hearing assignment to decision rendered (days),3,4,4,4,7,*,*,Up,*
DOP,1a, FALSE,Adult investigation reports completed - total,"19,547","18,452","15,546","15,421","14,987",*,*,Down,*
DOC,1e, TRUE,On-trial inmates delivered to court on-time (%),94.90%,94.20%,90.90%,84.00%,98.40%,95.00%,95.00%,Neutral,Up
DOP,2a, FALSE,Probation violation proceedings ending in revocation for adult probationers (%),45%,44%,47%,54%,51%,*,*,Up,Down
